<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;230209;220000;165.5500000;165.5600000;165.1700000;165.4200000;1144150
SBER;60;230209;230000;165.4200000;165.4700000;165.2500000;165.3100000;937400
SBER;60;230210;100000;165.0000000;166.0000000;164.5000000;165.5500000;9183630
SBER;60;230210;110000;165.5500000;165.9300000;164.6000000;165.0800000;4429600
SBER;60;230210;120000;165.0700000;165.6200000;164.9900000;165.3400000;2536430
SBER;60;230210;130000;165.3400000;166.3400000;165.2100000;165.7300000;4725880
SBER;60;230210;140000;165.7300000;166.4900000;165.3900000;165.9700000;5108770
SBER;60;230210;150000;165.9700000;166.1400000;165.2700000;165.9900000;2438310
SBER;60;230210;160000;165.9800000;166.1800000;165.4800000;165.6200000;2954890
SBER;60;230210;170000;165.5700000;165.7600000;164.9800000;165.5600000;3662980
SBER;60;230210;180000;165.5700000;165.8800000;165.4200000;165.5100000;1537580
SBER;60;230210;190000;165.5200000;165.8500000;165.5100000;165.6200000;610750
SBER;60;230210;200000;165.6100000;165.6400000;165.2700000;165.5500000;1111520
SBER;60;230210;210000;165.5600000;165.5800000;165.4800000;165.5500000;438910
SBER;60;230210;220000;165.5600000;165.7600000;165.5100000;165.5500000;837470
SBER;60;230210;230000;165.5500000;165.6000000;165.4000000;165.5200000;1195820
SBER;60;230213;100000;165.2100000;166.8800000;165.0100000;166.2800000;10122350
SBER;60;230213;110000;166.2800000;166.4200000;165.6400000;165.8300000;3374970
SBER;60;230213;120000;165.8300000;166.1000000;165.5500000;165.9100000;1866870
SBER;60;230213;130000;165.9100000;166.1900000;165.3600000;165.6200000;2797710
SBER;60;230213;140000;165.6200000;165.6800000;165.0600000;165.4100000;3676420
SBER;60;230213;150000;165.3700000;165.6300000;165.0200000;165.0600000;1824240
SBER;60;230213;160000;165.0600000;165.3200000;164.9400000;165.1800000;3268500
SBER;60;230213;170000;165.1500000;165.4400000;164.8500000;165.3800000;2524520
SBER;60;230213;180000;165.3700000;165.5600000;165.1800000;165.2500000;1028570
SBER;60;230213;190000;165.2600000;165.5300000;165.2500000;165.3800000;1062020
SBER;60;230213;200000;165.3700000;165.3800000;165.0600000;165.1900000;689860
SBER;60;230213;210000;165.2000000;165.2200000;165.0300000;165.1100000;526010
SBER;60;230213;220000;165.1200000;165.1600000;164.1700000;164.4300000;1645950
SBER;60;230213;230000;164.4400000;164.7400000;164.3000000;164.3200000;1726660
SBER;60;230214;100000;164.3000000;164.3800000;162.3100000;162.6100000;15715120
SBER;60;230214;110000;162.5800000;163.3500000;162.3000000;163.0700000;7234260
SBER;60;230214;120000;163.0700000;163.4200000;162.7600000;163.3200000;3116600
SBER;60;230214;130000;163.3200000;164.1000000;163.0700000;163.6500000;3915120
SBER;60;230214;140000;163.6600000;163.8900000;163.5000000;163.6200000;1829360
SBER;60;230214;150000;163.6200000;163.8100000;161.9000000;161.9000000;8953900
SBER;60;230214;160000;161.9000000;162.6600000;161.6400000;162.2500000;9729820
SBER;60;230214;170000;162.2700000;162.5000000;161.8600000;162.2700000;2214850
SBER;60;230214;180000;162.2700000;162.4000000;162.1000000;162.2000000;1241190
SBER;60;230214;190000;162.4900000;162.4900000;161.8800000;161.9000000;925180
SBER;60;230214;200000;161.9000000;162.0900000;161.7200000;162.0500000;1682410
SBER;60;230214;210000;162.0500000;162.2500000;161.9600000;162.0800000;919960
SBER;60;230214;220000;162.0900000;162.1900000;161.9500000;162.0100000;469960
SBER;60;230214;230000;162.0200000;162.0300000;161.8200000;161.8600000;729040
SBER;60;230215;100000;160.9300000;161.1200000;159.2500000;160.2000000;20461800
SBER;60;230215;110000;160.2000000;160.2700000;158.7000000;159.8700000;9825380
SBER;60;230215;120000;159.8500000;160.5000000;159.5000000;159.9600000;6979250
SBER;60;230215;130000;159.9800000;160.3800000;159.5600000;160.1300000;3250380
SBER;60;230215;140000;160.1400000;160.4400000;159.7900000;160.4100000;2147200
SBER;60;230215;150000;160.4000000;160.8000000;159.9300000;160.0400000;3050220
SBER;60;230215;160000;160.0200000;160.4400000;159.9000000;160.0500000;1745890
SBER;60;230215;170000;160.0500000;160.2000000;157.3500000;157.8600000;12144710
