<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230713;000000;247.9600000;248.1500000;245.3400000;246.1900000;29474970
SBER;D;230714;000000;246.3000000;247.0500000;244.5100000;246.4500000;25576610
SBER;D;230717;000000;244.7600000;246.2000000;243.6000000;245.3900000;35730950
SBER;D;230718;000000;245.6000000;247.5000000;245.2600000;246.7700000;35911790
SBER;D;230719;000000;247.2100000;248.1000000;245.0000000;245.8500000;31394740
SBER;D;230720;000000;246.2500000;246.2500000;242.1500000;242.7000000;35960520
SBER;D;230721;000000;243.1700000;244.5300000;241.7000000;244.1300000;32120690
SBER;D;230724;000000;243.9900000;245.8500000;243.5200000;244.8700000;19681330
SBER;D;230725;000000;245.3700000;247.7700000;244.8100000;247.2000000;39683790
SBER;D;230726;000000;247.2200000;248.3300000;245.9000000;247.0500000;26031980
SBER;D;230727;000000;247.5100000;249.3000000;247.2400000;247.9500000;39756100
SBER;D;230728;000000;247.9900000;249.4500000;246.6700000;249.2500000;35742280
SBER;D;230731;000000;251.3500000;267.7700000;251.3500000;267.4000000;167081570
SBER;D;230801;000000;268.9800000;273.3500000;264.1000000;268.5000000;162474350
SBER;D;230802;000000;268.5300000;269.9700000;266.5200000;268.5700000;48208590
SBER;D;230803;000000;269.0100000;271.3500000;266.8000000;269.1100000;75376240
SBER;D;230804;000000;269.4800000;272.9600000;261.2100000;264.1200000;132164900
SBER;D;230807;000000;266.5000000;268.0900000;260.5000000;261.9200000;61223950
SBER;D;230808;000000;261.9100000;265.4400000;258.8000000;264.6200000;65005790
SBER;D;230809;000000;265.4600000;265.8000000;263.0500000;263.9100000;34850720
SBER;D;230810;000000;264.7200000;267.5000000;263.9600000;266.9100000;37190100
SBER;D;230811;000000;267.2000000;267.4000000;264.8000000;266.2300000;24716230
SBER;D;230814;000000;267.3700000;268.7700000;259.1500000;260.4500000;86583040
SBER;D;230815;000000;259.1000000;264.1700000;256.6300000;260.4200000;58967150
SBER;D;230816;000000;261.2900000;261.6800000;254.3300000;256.0200000;71737910
SBER;D;230817;000000;257.1900000;258.8000000;255.5000000;258.5000000;35682720
SBER;D;230818;000000;258.3900000;261.3700000;257.3500000;261.1400000;30973320
SBER;D;230821;000000;262.3300000;263.0600000;259.5100000;261.1500000;35622200
SBER;D;230822;000000;261.9000000;262.1100000;259.8100000;261.4500000;25893210
SBER;D;230823;000000;261.5500000;261.8300000;256.0000000;256.4000000;53079140
SBER;D;230824;000000;257.6200000;259.9400000;256.4000000;259.6300000;26823420
SBER;D;230825;000000;258.8000000;261.6000000;257.6100000;260.5000000;28518670
SBER;D;230828;000000;261.2500000;267.8300000;260.8100000;266.9300000;57849930
SBER;D;230829;000000;266.6200000;267.5600000;265.1400000;265.6800000;35291820
SBER;D;230830;000000;265.7300000;267.3600000;263.1000000;264.7000000;38578950
SBER;D;230831;000000;265.0500000;266.2500000;264.3000000;264.8500000;22557030
SBER;D;230901;000000;265.4000000;265.6200000;264.0600000;265.0000000;19248500
SBER;D;230904;000000;266.5000000;269.1100000;266.0000000;267.3900000;47933710
SBER;D;230905;000000;266.9700000;267.9800000;261.0900000;264.7500000;39642920
SBER;D;230906;000000;264.3300000;264.6800000;262.3100000;263.5000000;28244090
SBER;D;230907;000000;263.5200000;264.9700000;256.1000000;258.7900000;67608570
SBER;D;230908;000000;258.4500000;259.3300000;253.1000000;255.6800000;49455340
SBER;D;230911;000000;257.0000000;258.3700000;255.1600000;256.2500000;43042300
SBER;D;230912;000000;257.6900000;262.4000000;257.0900000;262.4000000;45008650
SBER;D;230913;000000;262.3800000;262.7700000;257.5900000;258.1800000;29971320
SBER;D;230914;000000;258.8500000;261.3800000;255.0200000;260.0000000;46153720
SBER;D;230915;000000;259.8000000;262.7400000;258.5600000;260.8300000;35455920
SBER;D;230918;000000;262.0600000;263.0000000;258.7600000;259.0700000;28891500
SBER;D;230919;000000;258.9300000;259.3200000;251.5000000;252.7200000;89480280
SBER;D;230920;000000;252.8100000;255.4700000;249.8200000;253.7700000;66610520
SBER;D;230921;000000;252.9400000;254.2000000;249.8100000;250.1600000;58854870
SBER;D;230922;000000;249.8500000;253.1000000;248.6200000;251.9900000;40406630
SBER;D;230925;000000;252.1100000;253.4900000;249.8300000;252.6500000;31834270
SBER;D;230926;000000;252.2000000;257.1700000;250.9000000;255.8700000;42923170
SBER;D;230927;000000;256.2600000;257.8500000;254.6300000;256.1000000;27795730
SBER;D;230928;000000;256.2200000;258.2500000;255.5000000;257.6700000;26289900
SBER;D;230929;000000;257.9900000;262.5900000;256.7100000;260.7200000;68503050
SBER;D;231002;000000;261.3800000;261.9200000;257.0300000;258.9800000;35447350
SBER;D;231003;000000;258.9900000;260.5000000;257.2300000;259.6500000;23815150
SBER;D;231004;000000;259.0000000;260.3900000;258.2400000;259.5300000;18510890
SBER;D;231005;000000;260.7100000;261.3900000;258.2600000;259.3800000;23254560
SBER;D;231006;000000;259.7700000;263.4000000;257.8600000;262.9300000;31980230
SBER;D;231009;000000;263.0200000;265.9700000;263.0000000;265.2500000;45189600
SBER;D;231010;000000;264.9000000;265.1800000;257.0000000;263.0000000;33744090
SBER;D;231011;000000;263.1800000;263.9900000;259.5000000;260.2100000;29440350
SBER;D;231012;000000;260.0300000;264.5000000;259.6600000;264.5000000;27421510
SBER;D;231013;000000;264.7500000;265.0400000;262.7000000;263.5100000;18351530
SBER;D;231016;000000;263.9900000;269.2000000;263.5100000;268.1500000;53677710
SBER;D;231017;000000;268.2500000;271.9700000;266.9100000;270.0000000;51107660
SBER;D;231018;000000;270.0000000;271.1900000;266.1100000;267.9000000;40249640
SBER;D;231019;000000;267.1400000;271.0000000;266.2800000;268.6500000;33466930
SBER;D;231020;000000;268.5000000;270.3000000;266.5000000;269.8000000;32851790
SBER;D;231023;000000;270.4700000;274.1000000;269.6500000;270.1000000;62301840
SBER;D;231024;000000;270.0300000;272.0600000;268.6200000;271.2700000;27975250
SBER;D;231025;000000;271.5000000;274.9600000;270.5300000;273.7300000;41764060
SBER;D;231026;000000;274.1000000;276.0000000;269.1200000;269.9000000;59466100
